objectid,stn_name,stn_no,x,y,latitude,longitude,color,location
164,DHOBY GHAUT MRT STATION,NE6,29354.3681,31340.3479,1.299705459,103.8454851,PURPLE,POINT(103.8454851 1.299705459)
144,DHOBY GHAUT MRT STATION,NS24,29424.1448,31229.3143,1.298701307,103.8461119,RED,POINT(103.8461119 1.298701307)
29,DOVER MRT STATION,EW22,21914.5509,32634.1186,1.311405293,103.7786522,GREEN,POINT(103.7786522 1.311405293)
123,DOWNTOWN MRT STATION,DT17,30172.6259,29100.1876,1.27944619,103.8528356,BLUE,POINT(103.8528356 1.27944619)
125,ESPLANADE MRT STATION,CC3,30469.0566,30634.4621,1.293321608,103.8554985,YELLOW,POINT(103.8554985 1.293321608)
1,EUNOS MRT STATION,EW7,35782.9553,33560.0776,1.319778952,103.9032339,GREEN,POINT(103.9032339 1.319778952)
18,EXPO MRT STATION,CG1,42270.6232,35193.6223,1.334549778,103.9615134,OTHERS,POINT(103.9615134 1.334549778)
122,EXPO MRT STATION,DT35,42362.7103,35285.6654,1.335382137,103.9623407,BLUE,POINT(103.9623407 1.335382137)
48,FAJAR LRT STATION,BP10,21043.4356,40718.8826,1.384520796,103.7708268,OTHERS,POINT(103.7708268 1.384520796)
44,FARMWAY LRT STATION,SW2,34230.5193,42117.5716,1.397170196,103.8892882,OTHERS,POINT(103.8892882 1.397170196)
151,FARRER PARK MRT STATION,NE8,30321.3596,32739.6107,1.31235984,103.8541717,PURPLE,POINT(103.8541717 1.31235984)
121,FARRER ROAD MRT STATION,CC20,25136.2263,33309.1617,1.317510612,103.8075929,YELLOW,POINT(103.8075929 1.317510612)
73,FERNVALE LRT STATION,SW5,32784.2264,41533.2289,1.391885888,103.8762959,OTHERS,POINT(103.8762959 1.391885888)
120,FORT CANNING MRT STATION,DT20,29225.2834,30541.2748,1.292478928,103.8443255,BLUE,POINT(103.8443255 1.292478928)
98,GEYLANG BAHRU MRT STATION,DT24,32293.7994,33750.9518,1.321505838,103.8718904,BLUE,POINT(103.8718904 1.321505838)
23,GUL CIRCLE MRT STATION,EW30,8772.8552,33530.3675,1.319505215,103.6605988,GREEN,POINT(103.6605988 1.319505215)
101,HARBOURFRONT MRT STATION,CC29,26678.3445,27555.0595,1.26547264,103.821446,YELLOW,POINT(103.821446 1.26547264)
101,HARBOURFRONT MRT STATION,NE1,26678.3445,27555.0595,1.26547264,103.821446,PURPLE,POINT(103.821446 1.26547264)
161,HAW PAR VILLA MRT STATION,CC25,22267.5675,29442.5730,1.282542157,103.7818234,YELLOW,POINT(103.7818234 1.282542157)
136,HILLVIEW MRT STATION,DT3,20666.0676,38266.7899,1.362344869,103.7674369,BLUE,POINT(103.7674369 1.362344869)
187,HOLLAND VILLAGE MRT STATION,CC21,23868.1442,32681.5744,1.31183479,103.7962016,YELLOW,POINT(103.7962016 1.31183479)
177,HOUGANG MRT STATION,NE14,34572.8759,39256.1311,1.371292292,103.8923636,PURPLE,POINT(103.8923636 1.371292292)
114,JALAN BESAR MRT STATION,DT22,30466.0301,31970.4313,1.305403642,103.8554713,BLUE,POINT(103.8554713 1.305403642)
62,JELAPANG LRT STATION,BP12,20341.7491,40960.2020,1.386703025,103.7645235,OTHERS,POINT(103.7645235 1.386703025)
38,JOO KOON MRT STATION,EW29,10756.3543,34438.2764,1.327717173,103.6784167,GREEN,POINT(103.6784167 1.327717173)
20,JURONG EAST MRT STATION,EW24,17869.0806,35038.9472,1.33315262,103.7423112,GREEN,POINT(103.7423112 1.33315262)
